ID,Industry code,Job title,ISCO-08 - Major,ISCO-08 - Minor,Years of experience,"Digital technology is an umbrella term for mobile, internet and computer-based products and solutions",Digital technology reduces the amount of time required to perform an action,Digital technology is about transferring data from one electronic device to the other,Digital Technology is everything electronic,Digital technology enables knowledge sharing across organisations.,Accounting/ financial management,"Make Bookings (Travel bookings, scheduling meetings, venue booking etc.)",Emailing,Making audio or video calls,Marketing,Printing and scanning,Designing,"Monitoring  (e.g. employees, production, security etc)",Research and development,Training,Filing,US12OTHERS,"The ability to manage and monitor my team, activities, projects etc., whilst not being physically presen",Improved communication tools,Ability to enhance the capacity to perform my job,Ability to do different tasks at once (Multi-tasking),Limited usage of paper (Paperless processes),Less time needed to perform my duties (Time-efficiency),Reduced workload,Improved safety of data,Easy access to content,Stock counting,Cost saving,Improved Customer interactions,Digital technology involves higher costs,"The instability of digital systems (systems going down, load shedding etc.)",Lack of human interactions,The threat of possible retrenchment,Adjusting to and learning new digital technology,Lack of required digital skills,Digital fraud and scamming,Lack of digital upgrade,Lack of required devices,Unavailability of data,"Management (CEOs, Directors, Managers, Supervisors etc.)",IT Department,Communication Department/ Marketing Department,Project coordinators,External stakeholders,Fellow colleagues,No-one,No idea,System Auditor,State-of-the art printers and scanners. Needed,Business WhatsApp. Needed,Hi-tech telephone. Needed,Faster computers and tablets. Needed,Digital filing. Needed,Mobile Applications.Needed,Block chain technology. Needed,Reliable internet. Needed,Smart boards. Needed,Software and web applications. Needed,Automated equipment. Needed,Voice over Internet protocol (VOIP). Needed,Video conferencing applications. Needed,Artificial intelligence. Needed,Faster Wi-Fi connection,Ultra-modern equipment (Upgrade current digital equipment/s),Artificial Intelligence,Internet of Things (IoT),Robots,Scanners,Tracking systems,Voice over internet protocol,No idea 2,"Ability to quickly learn new software (MS packages, accounting packages, designing packages etc.)",Computer literacy,Machine learning,Digital marketing,Artificial Intelligence 2,Developing a Website,The ability to use and understand digital media,My knowledge of digital technologies boosts my confidence,The digital skills that I have acquired open doors to more job opportunities,The usage of digital technologies makes me more knowledgeable,"With the usage of digital technology, I am now able to innovate at work",How much value does the knowledge of digital technology add to your qualification?,High school,In-house training,Peer-learning,Self-taught,Short courses,Tertiary education,Previous work experience,External training/workshops,I have No digital skills.,My organisation supports digital technology usage through accredited training (officially recognized or authorized),Digital technology is promoted through inhouse training in my organisation,My organisation does not have a support system to enhance digital skills,My organisation encourages self-development of staff when it comes to digital technology,Digital skills in my organisation are promoted through external training (trainings conducted outside the organisation),My organisation encourages the staff to acquire digital skills through online training,The use of digital technology exposes to potential financial loss.,The probability of data loss is higher when using digital technology,The possibility of getting scammed and robbed is higher when using digital technology,"Compared to traditional tools such as pen and paper, using digital technology creates more doubts",It takes too much time to learn how to use new digital technology than using traditional tools.,Digital technology is likely to cause me to lose control over the privacy of my personal data,The usage of digital technologies in the workplace is a waste of time,I am NOT interested in using digital skills in my workplace,I don’t see any additional value in using digital technology,The usage of digital technology is too complicated for me,"I can still use my traditional tools, there is no real need for digital technologies",Digital technologies limit my capacity as a human because everything is provided by machines,What is your gender?,What is your year of birth?,What is your highest education level (Only indicate the highest)?,Which racial group do you belong to?,How long have you been in the organisation?,Approximately how many employees work in your organisation?,AGE,understanding
219,A,quality control coordinator,Technicians and associate professionals,Business and administration associate professionals,"4,0",1,1,1,0,1,3,4,3,3,4,5,5,5,5,5,3,#NULL!,9,9,10,10,8,7,9,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,8,9,9,9,8,5,6,#NULL!,#NULL!,#NULL!,#NULL!,1,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,0,1,1,2,0,0,1,0,1,0,0,0,0,1,1,1,1,#NULL!,1,#NULL!,#NULL!,#NULL!,1,#NULL!,1,1,1,#NULL!,#NULL!,5,5,5,5,4,#NULL!,1,#NULL!,#NULL!,1,1,1,#NULL!,#NULL!,5,4,2,4,4,3,3,4,3,2,3,4,1,2,1,2,3,3,1,1967,3,1,"4,0",400,52,4.00
220,A,Manager,Managers,Administrative and commercial managers,"10,0",1,1,1,-1,1,2,2,3,4,4,5,4,5,2,2,3,#NULL!,1,8,9,5,6,8,8,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,8,6,5,4,6,7,5,#NULL!,#NULL!,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,1,2,2,2,1,0,1,0,1,1,0,0,0,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,1,1,1,1,1,1,1,5,4,4,4,1,#NULL!,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,4,2,3,2,2,2,3,4,4,2,4,2,1,1,2,2,2,2,2,1982,4,1,2,3,37,3.00
221,A,Administrator,Clerical support workers,Other clerical support workers,"3,0",1,1,1,-1,1,1,1,3,2,1,3,1,3,1,1,5,#NULL!,7,9,10,9,9,8,8,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,5,3,5,5,5,4,1,#NULL!,#NULL!,#NULL!,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,2,1,1,1,2,0,1,1,1,1,1,1,2,#NULL!,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,#NULL!,1,#NULL!,#NULL!,5,5,5,5,3,1,#NULL!,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,4,4,1,4,2,4,1,1,1,1,1,1,1,2,1,1,1,1,2,1993,3,1,3,60,26,3.00
222,A,Cashier,Service and sales workers,Sales workers,"5,0",1,-1,1,0,1,4,2,4,4,4,2,1,3,3,5,3,#NULL!,5,5,6,7,10,6,7,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,7,9,4,6,7,7,10,#NULL!,#NULL!,#NULL!,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,1,1,1,2,1,1,1,2,2,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,#NULL!,#NULL!,4,4,5,2,4,1,1,#NULL!,1,1,#NULL!,#NULL!,#NULL!,#NULL!,5,4,2,2,4,4,4,4,5,2,4,3,4,1,3,5,4,1,2,1991,3,1,5,22,28,2.00
223,A,Intern,Other,Intern,"1,0",1,1,1,-1,1,2,1,5,5,5,5,3,2,5,5,1,#NULL!,4,6,6,7,5,7,7,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,2,6,4,6,7,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,0,1,0,1,2,1,1,2,2,2,2,2,1,#NULL!,#NULL!,#NULL!,#NULL!,1,#NULL!,1,#NULL!,1,1,#NULL!,#NULL!,#NULL!,1,1,4,4,4,4,4,#NULL!,#NULL!,1,1,#NULL!,1,#NULL!,#NULL!,#NULL!,4,3,4,5,4,4,2,3,4,2,3,4,2,1,1,2,4,1,2,1996,6,1,"1,0",500,23,3.00
224,A,Receptionist,Clerical support workers,Customer services clerks,"2,0",1,1,1,-1,1,1,2,5,5,1,4,1,3,1,1,2,#NULL!,6,9,8,9,8,8,6,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,7,3,4,2,2,4,2,#NULL!,#NULL!,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,2,1,1,1,2,0,1,1,1,1,1,1,2,#NULL!,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,#NULL!,#NULL!,#NULL!,1,#NULL!,#NULL!,5,5,5,5,3,#NULL!,#NULL!,1,1,#NULL!,1,#NULL!,#NULL!,#NULL!,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1996,4,1,"2,0",50,23,3.00
225,A,Clerk,Clerical support workers,General and keyboard clerks,"15,0",1,1,1,-1,1,5,5,5,5,5,5,5,4,4,3,5,#NULL!,10,9,7,6,10,8,7,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,7,7,5,10,9,7,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,#NULL!,1,#NULL!,#NULL!,#NULL!,1,2,2,2,1,1,2,2,2,0,2,2,1,2,#NULL!,#NULL!,1,1,1,1,1,#NULL!,#NULL!,#NULL!,1,1,1,#NULL!,#NULL!,#NULL!,5,4,2,1,4,1,#NULL!,#NULL!,1,1,#NULL!,#NULL!,#NULL!,#NULL!,4,4,4,4,4,4,4,4,4,5,4,3,4,4,2,1,4,3,2,1988,5,2,17,7,31,3.00
226,A,Sales representative,Service and sales workers,Sales workers,"7,0",1,1,1,-1,1,1,1,3,3,2,1,1,4,1,1,2,#NULL!,9,8,9,8,7,9,6,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,5,5,5,5,5,4,3,#NULL!,#NULL!,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,0,1,1,1,0,2,1,0,1,1,1,1,2,#NULL!,#NULL!,1,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,#NULL!,1,1,#NULL!,4,4,4,4,3,#NULL!,1,#NULL!,1,#NULL!,1,1,#NULL!,#NULL!,4,4,2,4,4,4,2,1,2,2,1,2,1,1,1,1,1,1,1,1988,5,2,4,90,31,3.00
227,A,Farmer,"Skilled agricultural, forestry and fishery workers",Market-oriented skilled agricultural workers,"2,0",1,1,1,-1,1,5,2,2,2,2,2,2,2,2,2,2,#NULL!,7,8,6,5,5,6,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,9,6,9,10,5,3,7,#NULL!,#NULL!,#NULL!,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,2,1,1,2,1,0,1,1,1,2,1,1,2,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,#NULL!,#NULL!,1,1,#NULL!,1,#NULL!,#NULL!,1,1,5,5,4,3,#NULL!,#NULL!,#NULL!,#NULL!,1,1,#NULL!,#NULL!,#NULL!,5,2,1,2,5,5,4,5,4,1,1,2,1,1,1,1,1,1,2,1991,5,2,2,15,28,3.00
228,A,Communications Officer,Professionals,Business and administration professionals,"10,0",1,1,1,-1,1,5,5,5,5,4,5,5,5,5,5,3,#NULL!,5,8,8,8,9,9,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,10,8,8,8,8,9,9,#NULL!,#NULL!,#NULL!,#NULL!,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,2,2,2,2,1,2,2,2,2,1,1,1,1,1,#NULL!,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,1,1,#NULL!,#NULL!,1,4,3,4,3,4,#NULL!,1,1,1,#NULL!,#NULL!,#NULL!,1,#NULL!,3,4,2,5,5,4,3,4,5,3,3,5,3,2,2,1,3,4,2,1978,4,2,"19,0",3000,41,3.00
